policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
snapkv,1024,16384,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.120,0.159,5.77
snapkv,1024,16384,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.972,0.184,5.74
snapkv,1024,16384,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.310,0.166,6.02
snapkv,1024,2048,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.041,0.020,5.65
snapkv,1024,2048,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.027,0.019,6.07
snapkv,1024,2048,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.037,0.020,6.29
snapkv,1024,2048,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.041,0.020,6.22
snapkv,1024,2048,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.026,0.020,6.24
snapkv,1024,2048,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.058,0.019,5.98
snapkv,1024,2048,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.041,0.019,6.24
snapkv,1024,32768,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,21.310,0.323,5.92
snapkv,1024,32768,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.865,0.310,6.32
snapkv,1024,32768,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.783,0.319,6.17
snapkv,1024,32768,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.651,0.384,5.84
snapkv,1024,32768,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.489,0.317,5.76
snapkv,1024,32768,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.528,0.323,5.99
snapkv,1024,32768,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.702,0.315,5.94
snapkv,1024,4096,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.279,0.040,6.01
snapkv,1024,4096,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.309,0.039,6.11
snapkv,1024,4096,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.314,0.040,5.75
snapkv,1024,4096,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.346,0.041,6.02
snapkv,1024,4096,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.321,0.039,6.27
snapkv,1024,4096,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.324,0.040,6.09
snapkv,1024,4096,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.325,0.038,6.22
snapkv,1024,8192,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.891,0.076,6.23
snapkv,1024,8192,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.895,0.074,6.39
snapkv,1024,8192,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.856,0.080,6.08
snapkv,1024,8192,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.868,0.079,6.22
snapkv,1024,8192,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.900,0.078,5.88
snapkv,1024,8192,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.890,0.077,6.27
snapkv,1024,8192,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.900,0.075,6.32
snapkv,256,16384,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.383,0.158,5.92
snapkv,256,16384,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.304,0.162,5.87
snapkv,256,16384,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.356,0.170,6.17
snapkv,256,16384,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.629,0.206,5.69
snapkv,256,16384,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.380,0.174,5.17
snapkv,256,16384,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.348,0.172,5.77
snapkv,256,16384,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.386,0.165,5.78
snapkv,256,2048,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.059,0.048,6.18
snapkv,256,2048,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.035,0.019,5.96
snapkv,256,2048,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.037,0.020,5.49
snapkv,256,2048,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.036,0.020,5.58
snapkv,256,2048,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.037,0.022,5.24
snapkv,256,2048,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.043,0.021,5.37
snapkv,256,2048,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.019,0.019,6.02
snapkv,256,32768,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,18.957,0.359,5.45
snapkv,256,32768,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.210,0.348,5.73
snapkv,256,32768,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.092,0.353,5.78
snapkv,256,32768,0.5,3,0.6667,0.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,18.895,0.324,5.90
snapkv,256,32768,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.046,0.407,5.74
snapkv,256,32768,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.023,0.322,6.59
snapkv,256,32768,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.179,0.343,6.20
snapkv,256,4096,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.224,0.037,5.67
snapkv,256,4096,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.227,0.040,5.90
snapkv,256,4096,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.231,0.041,5.88
snapkv,256,4096,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.227,0.036,5.86
