policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
tova,1024,4096,,20,0.5875,0.4000,0.7625,0.0000,0.0000,3.082,0.1406,0.7462,2.339,0.033,6.04
tova,1024,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.094,0.1406,0.8746,5.210,0.063,5.61
tova,1024,8192,,20,0.5750,0.3875,0.7625,0.0000,0.0000,3.094,0.1406,0.8739,4.957,0.067,5.93
tova,256,16384,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.007,0.0352,0.9844,9.824,0.346,11.50
tova,256,16384,,20,0.5792,0.4000,0.7500,0.0000,0.0000,3.007,0.0352,0.9843,9.825,0.179,6.85
tova,256,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.942,0.0352,0.8735,1.075,0.009,11.55
tova,256,2048,,20,0.5792,0.3958,0.7625,0.0000,0.0000,2.937,0.0352,0.8706,1.063,0.013,8.03
tova,256,32768,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.007,0.0352,0.9922,19.778,0.733,11.55
tova,256,32768,,20,0.3250,0.1500,0.5000,0.0000,0.0000,3.007,0.0352,0.9922,19.835,0.370,6.82
tova,256,4096,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.001,0.0352,0.9374,2.333,0.056,11.93
tova,256,4096,,20,0.5750,0.3875,0.7625,0.0000,0.0000,2.990,0.0352,0.9365,2.326,0.043,8.14
tova,256,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.007,0.0352,0.9687,4.841,0.161,11.84
tova,256,8192,,20,0.5625,0.3750,0.7375,0.0000,0.0000,3.007,0.0352,0.9685,4.817,0.098,7.44
